#,Priority Level,New Web Page Name,New Web Page Description,Accessible To,Additional Information,Comments Allowed,Status of Adobe Page,
1,"Must Have
(with Nice to Have Commenting Feature)",The Top 10 Morals Main Web Page,Page where info on the project can be found as well as links to the survey game and dashboard. Should include AHA’s 10 Commitments and the Buddha’s 5 Precepts.,All,Allow for a comments section that is only viewable and comment-abled for Registered+ players.,Yes,Done,
2,Must Have,The Top 10 Morals Survey Forms,Form(s) with built-in logic that requests and records information.,All,Received when submit button is successfully clicked.,No,Done,
3,Must Have,The Top 10 Morals Dashboard,Page where survey responses for the Top 10 Morals project can be found.,All,This page can be manipulated only by Registered+ users. Unregistered users can only view the default reports.,No,Done,
4,"Must Have
(with Nice to Have Commenting Feature)",The Rituals Main Web Page,Page where info on the project can be found as well as links to the survey game and dashboard. Should include the Pillars recommended rituals for each category.,All,Allow for a comments section that is only viewable and comment-abled for Registered+ players.,Yes,Done,
5,Must Have,The Rituals Survey Forms,Form(s) with built-in logic that requests and records information.,All,When submit button is successfully clicked.,No,Done,
6,Must Have,The Rituals Dashboard,Page where survey responses for the Rituals project can be found.,All,This page can be manipulated only by Registered+ users. Unregistered users can only view the default reports.,No,Done,
7,Must Have,Registration Page,Page where people register with the Pillars.,All,N/A,No,Done,
7,Must Have,Core Values,This should be added to the About page in a sub-section entitled: The Pillars Core Values.,All,N/A,No,N/A - Provided in User Stories,
8,Must Have,Player Page(s),"Page where registered players can access their Character, Player and Status information tabs.",Registered Players +,See separate tabs for information on Player page.,No,Done,
9,Must Have,Pledges Page,This page lists all the possible pledges by Pledge Group.,Registered Players +,N/A,No,N/A - Provided in User Stories,
10,Must Have,Key Links Page Under Each Pillar,"A new page that has links to key web sites, web pages, et cetera under each of the Pillars. May need it to formatted as tabs on a main Key Links page. And it could be linked from there, too.",Supporter Players +,Multiple pages or tab format. May add the link to the “Header” section. These details still pending.,Yes,Done,
11,"Must Have
(with Nice to Have Commenting Feature)",The Sustainability Project,Page where info on the project can be found.,Supporter Players +,Allow for a comments section that is only viewable and comment-abled for Supporter+ players.,Yes,To be provided,
12,"Must Have
(with Nice to Have Commenting Feature)",The Pyramid Project,Page where info on the project can be found.,Supporter Players +,Allow for a comments section that is only viewable and comment-abled for Sustainer+ users.,Yes,To be provided,
13,Must Have,Leveling-Up Matrix Page,Shows how what Players can level up.,Registered Players +,,No,N/A - Provided separately,
14,Must Have,Log-in Page for Registered Players,Log-in Page for Registered Players,Registered Players +,N/A,No,N/A - Should just be a simple page with log-on field and password field,