#,Database Area,Database Component,Name of Component,Details,Registration Note
1,Players,Table,Player Levels Table 1,Player levels and data on how Players level up,See User Stories presentation
2,Players,Table,Player Levels Table 2,Character Archetypes,
3,Players,Table,Player Levels Table 3,Character Attributes,
4,Players,Form,Player Levels Form 1,Collects registration data on Player including Character Development,
5,Players,Table,Player Levels Table 4,List of pledges Players can make,
6,Players,Table,Player Levels Table 5,Lists all Player data for Registered Players,
7,The Rituals,Table,The Rituals Table 1,"Lists The Pillars’ Cyclical rituals, Milestones rituals, and Nature rituals",N/A
8,The Rituals,Form,The Rituals Survey Form 1,"Collects data from Easy, Medium and Difficult surveys",Needs to know if someone is registered
9,The Rituals,Table,The Rituals Table 2,Stores data from Rituals Survey Form 1,Includes data on whether response is from registered user or not
10,The Rituals,Query,The Rituals Query 1,Queries data from Rituals Table 2,Includes data on whether response is from registered user or not
11,The Rituals,Report,Rituals Report 1,Reports out data from Rituals Query 1,Includes data on whether response is from registered user or not
12,The Rituals,Report,The Rituals Report 1,Rank order of Cyclical rituals stricken,
13,The Rituals,Report,The Rituals Report 2,"Top 5 rank order of recommended Milestone Rituals for each grouping (Birth, Puberty, Marriage, Death)",
14,The Rituals,Report,The Rituals Report 3,"Top 5 rank order of recommended Celestial Rituals for each grouping (Equinoxes, Solstices, Solar Eclipses, Lunar Eclipses, Seasons [Winter, Spring, Summer, Fall])",
15,The Top 10 Morals,Table,Top 10 Morals Table 1,"Lists the Christian Ten Commandments, the AHA’s Ten Commitments, and the Buddha’s Five Precepts",N/A
16,The Top 10 Morals,Form,Top 10 Morals Survey Form 1,"Collects data from Easy, Medium and Difficult surveys",Needs to know if someone is registered
17,The Top 10 Morals,Table,Top 10 Morals Table 2,Stores data from Top 10 Morals Survey Form 1,Includes data on whether response is from registered user or not
18,The Top 10 Morals,Query,Top 10 Morals Query 1,"Queries data from Top 10 Morals Table 2
Identifies the top 5 most stricken morals
Identifies the top 5 most added morals
Calculates the weighted average scores and identifies the Top 10 Morals",Includes data on whether response is from registered user or not
19,The Top 10 Morals,Report,Top 10 Morals Report 1,"Reports out data from Top 10 Morals Query 1
Top 5 most stricken morals
Top 5 most added morals
Top 10 morals",Reports out by registered player level and non-registered players