#,Character Archetype,"AKA
(May need to have separate table.)",Seeking,Cardinal Orientation,"Ego, Self or Soul",D&D Character Link
1,Innocent,"Utopian
Traditionalist
Naive
Mystic
Saint
Romantic",Safety,Freedom - Yearn for Paradise,"Ego-Outwardly facing; driven by fears, focused on self-ID, validation & survival
",Monk
2,Sage,"Expert
Scholar
Detective
Advisor
Thinker
Philosopher
Academic
Researcher
Thinker
Planner
Professional
Mentor
Teacher
Contemplative",Knowledge,Freedom - Yearn for Paradise,"Self-Integration of both truest self and outwardly facing ego
",Warlock
3,Explorer,"Seeker
Iconoclast
Wanderer
Individualist
Pilgrim",Freedom,Freedom - Yearn for Paradise,"Soul-Truer, deep essence; life force connected to a higher power of love, purpose & connection",Ranger
4,Outlaw,"Rebel
Revolutionary
Wild Man
Misfit
Iconoclast",Liberation,Ego - Leave a Mark on the World,"Soul-Truer, deep essence; life force connected to a higher power of love, purpose & connection",Rogue
5,Magician,"Visionary
Catalyst
Inventor
Charismatic Leader
Shaman
Healer
Medicine Man",Power,Ego - Leave a Mark on the World,"Self-Integration of both truest self and outwardly facing ego
",Wizard
6,Hero,"Warrior
Crusader
Rescuer
Superhero
Soldier
Dragon Slayer
Winner
Team Player",Mastery,Ego - Leave a Mark on the World,"Ego-Outwardly facing; driven by fears, focused on self-ID, validation & survival
",Paladin
7,Lover,"Partner
Friend
Intimate
Enthusiast
Sensualist
Spouse
Team-Builder",Intimacy,Social - Connect with Others,"Soul-Truer, deep essence; life force connected to a higher power of love, purpose & connection",Druid
8,Jester,"Fool
Trickster
Joker
Practical Joker
Comedian",Pleasure,Social - Connect with Others,"Self-Integration of both truest self and outwardly facing ego
",Bard
9,Everyman,"Good Old Boy
Regular Guy/Girl
Person Next Door
Realist
Working Stiff
Solid Citizen
Good Neighbor
Silent Majority",Belonging,Social - Connect with Others,"Ego-Outwardly facing; driven by fears, focused on self-ID, validation & survival
",Fighter
10,Caregiver,"Saint
Altruist
Parent
Helper
Supporter",Service,Order - Provide Structure to the World,"Ego-Outwardly facing; driven by fears, focused on self-ID, validation & survival
",Cleric
11,Ruler,"Boss
Leader
Aristocrat
King
Queen
Politician
Role Model
Manager
Administrator",Control,Order - Provide Structure to the World,"Self-Integration of both truest self and outwardly facing ego
",Barbarian
12,Artist,"Creator
Inventor
Innovator
Musician
Writer
Dreamer",Innovation,Order - Provide Structure to the World,"Soul-Truer, deep essence; life force connected to a higher power of love, purpose & connection",Sorcerer