#,Ritual Group,Type of Ritual,Game Type Question,The Pillars’ Ritual Description,Notes,Seven Pillars Connection
1,Cyclical,Daily,Basic,Sun Salutation,,Recovery - PHYSICAL
2,Cyclical,Weekly,Basic,Meditation,,Meditation - MENTAL
3,Cyclical,Monthly,Basic,Commune with Nature,,Communion - SPIRITUAL
4,Cyclical,Quarterly,Basic,Breaking Bread with Family and/or Friends,,Sustenance - PHYSICAL / Family - SOCIAL
5,Cyclical,Bi-annually,Basic,Winter Solstice and Summer Solstice,,Communion - SPIRITUALITY
6,Cyclical,Annually,Basic,The Cleanse: A weeklong fast and jump into a natural body of water beginning one week before one’s birthday. Ends day before birthday.,,Fitness - PHYSICAL / Communion - SPIRITUAL
7,Cyclical,Annually,Bonus,Labor Day - Remembrance Day. To be re-written by Players.,,
8,Cyclical,Annually,Bonus,Memorial Day - Remembrance Day. To be re-written by Players.,,
9,Cyclical,Annually,Bonus,Veteran’s Day - Remembrance Day. To be re-written by Players.,,
10,Cyclical,Annually,Bonus,Independence Day - Remembrance Day. To be re-written by Players.,,
11,Milestone,Birth,Basic,N/A,,
12,Milestone,Puberty,Basic,N/A,,
13,Milestone,Marriage,Basic,N/A,,
14,Milestone,Death,Basic,N/A,,